_id,user_id,created_at,description,display_name,handle,updated_at
677833295d17b38e9c185667,did:plc:3hzavrmajdaswmophkmis2az,2025-01-03T15:57:45.729Z,É o inter e não adianta 🇦🇹,Raul,raulrathecke.bsky.social,2025-01-03T15:57:45.729Z
677833295d17b38e9c185668,did:plc:xkfhtrt5zyxia3tzdaqzslrb,2025-01-03T15:57:45.752Z,"World's First Unified #Web5 Ecosystem –  Decentralized by #AI-Driven Consensus Algorithms and Unified Profile Identifier #UPID –Empowering #Global Economic Growth, #Governance, #Green Challenges, and Redefining The Way We #Live, #Travel, #Work, #interact..",⋆⭒⋆✵ REESHA ✵⭒⋆⭒,reeshaw5.bsky.social,2025-01-03T15:57:45.752Z
677833295d17b38e9c185669,did:plc:nfl5xoitzhpgsqxkujgbrkma,2025-01-03T15:57:45.753Z,"👋 —  I’m Elysha & I’m ✵The Warden of Growth✵ Steward of the Green Circles, & Protector of The Reesha Realm. I Champion Quests that Breathe Life back into our World—Planting forests, Nurturing Clean Skies, & Restoring Balance to the Realm 🌿",Elysha\n🌿\n🦋,elysha814.bsky.social,2025-01-03T15:57:45.753Z
677833295d17b38e9c18566a,did:plc:72ub6l4tqw2vghuw47xv5dls,2025-01-03T15:57:45.754Z,N/A,N/A,a990.bsky.social,2025-01-03T15:57:45.754Z
677833295d17b38e9c18566b,did:plc:5cuu2ymegvdt4wkmbhoecuez,2025-01-03T15:57:45.755Z,"Would you like to reach the most talented individuals in #Iraq,  #Iraqi #Kurdistan and #MENA region via vacanciesiniraq.com?",N/A,vacanciesiniraq.bsky.social,2025-01-03T15:57:45.755Z
677833295d17b38e9c18566c,did:plc:2zyy6yhy6h7n6lrvcmupr6xc,2025-01-03T15:57:45.756Z,N/A,N/A,rufinoelias.bsky.social,2025-01-03T15:57:45.756Z
677833295d17b38e9c18566d,did:plc:fwrolpnsw2o7j7mdvjsdhoez,2025-01-03T15:57:45.756Z,"I am a Doctor of Nursing Practice. As a provider, I advocate for universal access to quality care, health equity, and community empowerment. I am a Blue Democrat, a political and book lover, and a science nerd—🚫DM🚫porn🚫MAGA🚫solicitation🚫Crypto, 🚫only fans","Anna DNP, FNP, BC@ AccessToCareAdvocate",anna1900.bsky.social,2025-01-03T15:57:45.756Z
677833295d17b38e9c18566e,did:plc:rei4sqgdfkymkntxerq22iuz,2025-01-03T15:57:45.757Z,Enviamos p/ todo o Brasil 🇧🇷\nCompre pelo site ⬇️\nwww.plugthc.com,Plug THC,plugthc.bsky.social,2025-01-03T15:57:45.757Z
677833295d17b38e9c18566f,did:plc:yjo4bsw36bdvinkhj5twsbaf,2025-01-03T15:57:45.758Z,Vamos curar o lindo gatinho \n\n🅿️ℹ️❎: ajudecats@gmail.com,Ajudem meu Gatinho,gatinhog.bsky.social,2025-01-03T15:57:45.758Z
677833295d17b38e9c185670,did:plc:ns3kqb5ke7yaery4fxaas5uo,2025-01-03T15:57:45.760Z,N/A,N/A,jamesmendy.bsky.social,2025-01-03T15:57:45.760Z
677833295d17b38e9c185671,did:plc:2xrugyynmlhxvr2ll7czenyw,2025-01-03T15:57:45.761Z,‏💕رضيتُ بالله ربّا،و بالإسلام دينا،و بمحمدّ ﷺ نبيّا و رسولا💕,Bσʝσ Nσι,bojonoi19.bsky.social,2025-01-03T15:57:45.761Z
677833295d17b38e9c185672,did:plc:ckm5eloclix5473ixpfxtajk,2025-01-03T15:57:45.762Z,Dazed and very confused!🤪✌️,João Alberto ,johannesal.bsky.social,2025-01-03T15:57:45.762Z
677833295d17b38e9c185673,did:plc:u2i4hlchzvffrwyxcz6cmmo2,2025-01-03T15:57:45.763Z,"IPEACE, LOVE,EQUyA6LITY💯💙 I've started a new group for Indivisible (see  ,🔝)\nBIG Sports fan.(NFL,NBA,NHL,+)GO IRISH! Huge Pro Wrestling fan...AEW,STARDOM, NJPW WWE TJPW, MARIGOLD,TNA, REVPRO,PWA(AUSSIES!), MLW GCW, PROGRESS..\nProud Democrat... F##K TRUMP!",# UNITED BLUE AMERICAN RESISTANCE(Indivisible),charlesl28.bsky.social,2025-01-03T15:57:45.763Z
677833295d17b38e9c185674,did:plc:v7hpped5okncb6reki4uaw5t,2025-01-03T15:57:45.764Z,Education. Civil rights. Social justice. Good trouble.,Good Karma,gooodkarma.bsky.social,2025-01-03T15:57:45.764Z
677833295d17b38e9c185675,did:plc:wqtzl2snd77oloemjwl5vmpf,2025-01-03T15:57:45.765Z,N/A,N/A,sosooliveirajj.bsky.social,2025-01-03T15:57:45.765Z
677833295d17b38e9c185676,did:plc:k3f24oiz3f6a4zr57mwil3pb,2025-01-03T15:57:45.766Z,"#Retired Prison Warden #Chief Inspector #Soccer, #Cricket, #Veteran, #Movie #NFL, #Government, #Track & Field, #Crypto, #AMC #Music #Ape, #Jamaican #Blue Is My Favorite Color #Movie #Kung Fu #Boxer #Climate Change #Taurus",DonaldRedwood  🇯🇲🇺🇸,donaldredwood.bsky.social,2025-01-03T15:57:45.766Z
677833295d17b38e9c185677,did:plc:d6t25gd7n52s3bs3hgspjci5,2025-01-03T15:57:45.769Z,Na luta contra extrema Direita não é guerra é genocídio em massa. 💯🌡️🚩🚩🚩🇧🇷🇧🇷🇧🇷 🏹🏹🏹 Sagitário Quente. MILITÂNCIA AGINDO PRA VALER. 🙏👍👊🤟✌️,Gilmar Carvalho Neves,ggilmar.bsky.social,2025-01-03T15:57:45.769Z
677833295d17b38e9c185678,did:plc:sx6xqranilwsrvb7d72e2pcw,2025-01-03T15:57:45.771Z,Retired attorney not into anything leaning right or organized religion. Do not forget the damage the right has done!💙🇺🇸 DMs ALWAYS BLOCKED,N/A,therascal.bsky.social,2025-01-03T15:57:45.771Z
677833295d17b38e9c185679,did:plc:oxn5frkfvradgxor5ildtp2i,2025-01-03T15:57:45.772Z,N/A,N/A,marimbondo06.bsky.social,2025-01-03T15:57:45.772Z
677833295d17b38e9c18567a,did:plc:bilwjktv3jyc4vrgwfxppj2k,2025-01-03T15:57:45.773Z,N/A,N/A,robertocortes.bsky.social,2025-01-03T15:57:45.773Z
677833295d17b38e9c18567b,did:plc:czmxnsn5pz2lyrpggoilzfte,2025-01-03T15:57:45.774Z,"Grandma progressive wish govt had the skills taught to kindergarten.Traveler, seeker, creator,  Deadhead 4 life, D&D, KoL. AmazingDigitalCircus. DMs are Off.   Plz NO PORN\n #FBR #Blue #Resist #USDemocracy #Voices4Victory #BLUEUNITY", Mrs. Uzh,gerryu.bsky.social,2025-01-03T15:57:45.774Z
677833295d17b38e9c18567c,did:plc:xyyjbuw6b5hnfptscoghyznx,2025-01-03T15:57:45.775Z,"Raised in Montréal, Québec, Canada. Resident of Gatineau, Québec. #seleçao #GoHabsGo #Alouettes #Expos #Ferrari Genealogy enthusiast. https://www.wikitree.com/wiki/Da_Silva-1303 makes 🎸Joe Perry of #Aerosmith my distant cousin.",🇵🇹PortugueseGuy🇵🇹,portugueseguy.bsky.social,2025-01-03T15:57:45.775Z
677833295d17b38e9c18567d,did:plc:kje4mvn4lfejg45zusumkbds,2025-01-03T15:57:45.776Z,"26 y/o\n\nVegetarian Powerlifter 🏋🏼‍♂️🌱\nS: 425 B: 305 D: 507\n\nExploring the World While Working Remotely as a Data Scientist 🗺️👨🏼‍💻\n\nLeftist Advocate for Workers Rights, Medicare for All, and Empathetic Governance ✊\n\nMiserable Chicago Sports Fan 🧦🐻🐂",Tommy,tryan1013.bsky.social,2025-01-03T15:57:45.776Z
677833295d17b38e9c18567e,did:plc:zmsc7pyaakif3zxr6ckgoq6k,2025-01-03T15:57:45.777Z,"🇨🇦🇨🇦 I am a proud Liberal Canadian 🇨🇦🇨🇦\n🍁🍁 Regina, Saskatchewan, Canada 🍁🍁\n\n🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈 He/Him and Gay 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈\n\n❌ Unsolicited DM's = Blocked\n❌ Off Platform Chats = Blocked\n❌ My Profile Pictures for Your Art Projects = Blocked",Lonny Regan 🇨🇦 🏳️‍🌈,lonnyregan.bsky.social,2025-01-03T15:57:45.777Z
677833295d17b38e9c18567f,did:plc:o7ayjzgzus74yusgfod6kkal,2025-01-03T15:57:45.778Z,"whovian, mom to 4 and 2 legged, hug a tree! #AuDHD #voteblue #gun control #medicareforall #basicincome #disabledrights #resist #lgbtq+ No DM please",Sarah,sarahjanesmith.bsky.social,2025-01-03T15:57:45.778Z
677833295d17b38e9c185680,did:plc:l4kzsv7hqi6ndnochtl66qsd,2025-01-03T15:57:45.779Z,MT Dog mom trying to mind her own business..married\nNo DM’s🐾❤️🌊🏳️‍🌈,Dog mom,l-m1.bsky.social,2025-01-03T15:57:45.779Z
677833295d17b38e9c185681,did:plc:axalahjrfkqgylp5xo6mtqmq,2025-01-03T15:57:45.780Z,"Wife, mom to college students, animal lover, musician, health care provider. Peace, love, cats, and cockatiels.\nPokémon GO. Anti-maga.  Save the earth. #voteblue ☮️ ❤️ 🏳️‍🌈 \nPorn and obviously fake accounts blocked.  Tired of your BS.",Sleep master,birdcatlady.bsky.social,2025-01-03T15:57:45.780Z
677833295d17b38e9c185682,did:plc:jsgbdxkfu2nswnoaxizwh5xq,2025-01-03T15:57:45.782Z,Trekkie star wars fan history nerd single he/him BTW u can dm me Democrat ,Bryan Barber ,bcbarber.bsky.social,2025-01-03T15:57:45.782Z
677833295d17b38e9c185683,did:plc:soslxplp53gcikkbp46dzljv,2025-01-03T15:57:45.783Z,"🔥Ready for exclusive content you won’t see anywhere else? \n💋Join me on OnlyFans for my hottest photos, videos, and private chats. Let’s make your fantasies real 😏💦\nDon’t miss out — subscribe now! ✨ https://onlyfans.com/milanahot/c40",Milana💘 OnlyFansModel,onlyfans-model.bsky.social,2025-01-03T15:57:45.783Z
677833295d17b38e9c185684,did:plc:qaj6pm2jkow62yuzlyir6vto,2025-01-03T15:57:45.784Z,N/A,N/A,hodcmag.bsky.social,2025-01-03T15:57:45.784Z
677833295d17b38e9c185685,did:plc:jkj5bkdaqkecpul2zpa5vnqh,2025-01-03T15:57:45.786Z,N/A,N/A,onecolorado.bsky.social,2025-01-03T15:57:45.786Z
677833295d17b38e9c185686,did:plc:d2d7u6q7cuq6yfiwv7r3zbai,2025-01-03T15:57:45.787Z,"#Financier of JVs in China & Startups #Physicist #Author: Strategy. #Playwright: 20 Recent NY Shows (Sarah's Rapture, Pablo's Kisses, Women of Paris, Badass Women, City Suite, A Day of Promise, Ritual Cleansing, Rebooting Life, Break-Up, Twilight of Joy...",Paul K. Smith,paulksmith.bsky.social,2025-01-03T15:57:45.787Z
677833295d17b38e9c185687,did:plc:t53vbj7eakavqv2h35yrmw7y,2025-01-03T15:57:45.788Z,N/A,N/A,cg-gabriel.bsky.social,2025-01-03T15:57:45.788Z
677833295d17b38e9c185688,did:plc:r7of4pu452exrp47r3m5gkv6,2025-01-03T15:57:45.789Z,N/A,N/A,pabc7085.bsky.social,2025-01-03T15:57:45.789Z
677833295d17b38e9c185689,did:plc:3cd5wwiyzjjkh5ftsjyuialf,2025-01-03T15:57:45.790Z,Davies joined Sky Sports as a runner straight from university in 2001. She was a regular presenter of sports bulletins on the BBC News Channel (formerly News 24). .. SPORT WORLD HAVE YOUR SAY.,Amanda Davies,amandadavies.bsky.social,2025-01-03T15:57:45.790Z
677833295d17b38e9c18568a,did:plc:x6b44q3ghfrqjjbpeqvodn4z,2025-01-03T15:57:45.791Z,N/A,N/A,mlinna.bsky.social,2025-01-03T15:57:45.791Z
677833295d17b38e9c18568b,did:plc:dj53nbh3e5luskphpmv2aud6,2025-01-03T15:57:45.792Z,Sharing my favourite memes I come across online ❤️,Meme Addict 😂,memeaddict.bsky.social,2025-01-03T15:57:45.792Z
677833295d17b38e9c18568c,did:plc:izlvatff25n7s7zfqnzx2xpu,2025-01-03T15:57:45.793Z,I am a Model & a Fashionester.\nSoon to be a relationship therapist practitioner 🤍.,Cynthia Briggs,cynthia-2000.bsky.social,2025-01-03T15:57:45.793Z
677833295d17b38e9c18568d,did:plc:npafk4eizhnavd5xws77wprk,2025-01-03T15:57:45.795Z,"Welcome, in this channel I will publish one of my games taken directly from my private Delta Revolution group\n\nJoin and enjoy the show.\n\n🔞#playresponsibly\n\nhttps://t.me/+u_Uut6LIxaBmYjQ0",N/A,connormanson.bsky.social,2025-01-03T15:57:45.795Z
677833295d17b38e9c18568e,did:plc:p364kdo7xmd74sm2kmtvjx4u,2025-01-03T15:57:45.796Z,Run around the world barefoot. 🇹🇼,Miller,ming1537.bsky.social,2025-01-03T15:57:45.796Z
677833295d17b38e9c18568f,did:plc:tlrjlnjo7un5s2skw2m2lf5x,2025-01-03T15:57:45.797Z,N/A,N/A,jcbastola.bsky.social,2025-01-03T15:57:45.797Z
677833295d17b38e9c185690,did:plc:4q4gm262q4vxhkknvkr76k2u,2025-01-03T15:57:45.798Z,N/A,N/A,hellen123684.bsky.social,2025-01-03T15:57:45.798Z
677833295d17b38e9c185691,did:plc:fr5ptff6shxnqkzibnm4iunp,2025-01-03T15:57:45.799Z,N/A,N/A,bisho8090.bsky.social,2025-01-03T15:57:45.799Z
677833295d17b38e9c185692,did:plc:dbsqhja2b22ssnvhe4wf7wh7,2025-01-03T15:57:45.800Z,Mamahele.com create the best design for your sport !\n\n#sport #plane #horse #football #motocross #bike #cars #truck #ski #swingdance…,Mamahele.com,mamahele.bsky.social,2025-01-03T15:57:45.800Z
677833295d17b38e9c185693,did:plc:2djt6ruazchviaqn64gkzppj,2025-01-03T15:57:45.801Z,Art is love made public.,Camila,blueairplane.bsky.social,2025-01-03T15:57:45.801Z
677833295d17b38e9c185694,did:plc:akzspnzunwbifgbsuemtguau,2025-01-03T15:57:45.802Z,N/A,N/A,lvbm.bsky.social,2025-01-03T15:57:45.802Z
677833295d17b38e9c185695,did:plc:r7tmm7vazjgeedgzhniuinlz,2025-01-03T15:57:45.804Z,N/A,N/A,marcelozulian.bsky.social,2025-01-03T15:57:45.804Z
677833295d17b38e9c185696,did:plc:ippvcada7mqaljzycfhqyggg,2025-01-03T15:57:45.805Z,"Lover of cats, all things tarot, science, cycling,  stone buildings, great photos and coffee.  Did I mention cats?  \n\nhttps://linktr.ee/tarotsimple",Tarot Readings,tarotaireadings.bsky.social,2025-01-03T15:57:45.805Z
677833295d17b38e9c185697,did:plc:4clq6g4d3aschydkwdge3p5n,2025-01-03T15:57:45.806Z,N/A,N/A,timrocks.bsky.social,2025-01-03T15:57:45.806Z
677833295d17b38e9c185698,did:plc:nmmixv6mlzxs3c6msd2ueihj,2025-01-03T15:57:45.807Z,N/A,N/A,footballfeed.bsky.social,2025-01-03T15:57:45.807Z
677833295d17b38e9c185699,did:plc:3odqbzybc465n745m7inuak6,2025-01-03T15:57:45.808Z,N/A,fernan,fernan2371.bsky.social,2025-01-03T15:57:45.808Z
677833295d17b38e9c18569a,did:plc:52yaygrg7rj4i4kbcfzwizdr,2025-01-03T15:57:45.809Z,N/A,N/A,ruancarlos013.bsky.social,2025-01-03T15:57:45.809Z
677833295d17b38e9c18569b,did:plc:czzgdfrahtrfzxgvrbzdcgmr,2025-01-03T15:57:45.809Z,"AmazonAthleteGear\n🏋️‍♂️ Your go-to hub for the best Amazon sports and fitness products!\n🎯 Gear up for peak performance with top-rated equipment, apparel, and accessories.\n💪 Follow us for updates, deals, and tips to level up your game!",AmazonAthleteGear,sportifymarket.bsky.social,2025-01-03T15:57:45.809Z
677833295d17b38e9c18569c,did:plc:lnqt6e42gh5c4dmjdwvu2xak,2025-01-03T15:57:45.810Z,N/A,N/A,caonalha.bsky.social,2025-01-03T15:57:45.810Z
677833295d17b38e9c18569d,did:plc:ht4kqvrb7fuwnrhbhsohsgp7,2025-01-03T15:57:45.811Z,N/A,Ines Zlotowski,ines1310.bsky.social,2025-01-03T15:57:45.811Z
