_id,user_id,created_at,description,display_name,handle,updated_at
67782bda5d17b38e9c16aff0,did:plc:u3ekmzfzw2aesv5b5twnzzyn,2025-01-03T15:26:34.638Z,N/A,N/A,eduardocizemene.bsky.social,2025-01-03T15:26:34.638Z
67782bda5d17b38e9c16aff1,did:plc:7tjn66lejn6ooenlcgv5glzu,2025-01-03T15:26:34.678Z,N/A,N/A,lucasegatto10.bsky.social,2025-01-03T15:26:34.678Z
67782bda5d17b38e9c16aff2,did:plc:w5bfp72hobwhmgwbf24e3ivx,2025-01-03T15:26:34.680Z,N/A,N/A,diaslano10.bsky.social,2025-01-03T15:26:34.680Z
67782bda5d17b38e9c16aff3,did:plc:tmpj3njei5es6c2ba6aadzhy,2025-01-03T15:26:34.681Z,N/A,N/A,rever202435.bsky.social,2025-01-03T15:26:34.681Z
67782bda5d17b38e9c16aff4,did:plc:bxebn4ut37fb6uqf3s3icyoq,2025-01-03T15:26:34.682Z,N/A,Ubiratan Bolões,ubiratanboloes.bsky.social,2025-01-03T15:26:34.682Z
67782bda5d17b38e9c16aff5,did:plc:5mtyomdn3tl7fx7l5kabwc4i,2025-01-03T15:26:34.683Z,N/A,N/A,tuioaac.bsky.social,2025-01-03T15:26:34.683Z
67782bda5d17b38e9c16aff6,did:plc:hqg5cpuqhsfy3yiwmvstgzwz,2025-01-03T15:26:34.684Z,"Eng. eletricista, eletrônico e de telecomunicações. Considerado pelas análises como um democrata moderado...  Sim, sempre com família, saúde e ensino universalizado.",Nilson ,fjr68.bsky.social,2025-01-03T15:26:34.684Z
67782bda5d17b38e9c16aff7,did:plc:dhgl4bwyarlle3pgo2vq2ho2,2025-01-03T15:26:34.685Z,☀️,βia,jaebeah.bsky.social,2025-01-03T15:26:34.685Z
67782bda5d17b38e9c16aff8,did:plc:6jpzsftqzh6swvzi377pwku7,2025-01-03T15:26:34.686Z,"Sou caseiro, não gosto de barulho, e Deus acima de tudo!",Edivaldo Nunes🇧🇷🇺🇸🇺🇦🇦🇷🇮🇱🇧🇷🇧🇷🇧🇷,enop.bsky.social,2025-01-03T15:26:34.686Z
67782bda5d17b38e9c16aff9,did:plc:xqgyxo76jfutm6hiidydsqg3,2025-01-03T15:26:34.687Z,Olá a todos \nMeu nome é Enzo terio o transtorno do espectro autista sou carioca. Me segue aí pfv por gentileza!!!!,Enzo Freitas 🧩🇧🇷,enzofreitas10.bsky.social,2025-01-03T15:26:34.686Z
67782bda5d17b38e9c16affa,did:plc:kc5amds2m7g6i63rg3hyonlj,2025-01-03T15:26:34.687Z,"Esquerda, petista, lulista, dilmista, brizolista, janguista, feminista, antifascista, antirracista, anti-imperialista. 🚩☭\n\nA grandeza de uma nação pode ser julgada pelo modo que seus animais são tratados. (Mahatma Gandhi)\n\n",Carmen L P GOULART LULA da Silva ,carmenpgoulartlula.bsky.social,2025-01-03T15:26:34.687Z
67782bda5d17b38e9c16affb,did:plc:5fclmdtb77zv2ay5xmplzvnv,2025-01-03T15:26:34.689Z,Esse é um espaço dedicado aos esportes. \n\nhttps://www.instagram.com/conteudodeesportes/,CONTEÚDO DE ESPORTES,conteudodeesportes.bsky.social,2025-01-03T15:26:34.689Z
67782bda5d17b38e9c16affc,did:plc:6gq6ql5tuhtk5s5mrioj6j6b,2025-01-03T15:26:34.690Z,N/A,N/A,jowziiialrisha.bsky.social,2025-01-03T15:26:34.690Z
67782bda5d17b38e9c16affd,did:plc:4ufudwo2xzxvu3fmz44cmi7n,2025-01-03T15:26:34.690Z,Finalmente chegando no BlueSky\nEscrevo pra Toca Cinéfila ,Jojo,joaovictordovale.bsky.social,2025-01-03T15:26:34.690Z
67782bda5d17b38e9c16affe,did:plc:ahsp3skrwnwbtodag4vrcbus,2025-01-03T15:26:34.692Z,"Software Engineer 💍, tudo que eu gosto as pessoas acham ruim.\nCriciúma/paiN",tekunin,tekunin.bsky.social,2025-01-03T15:26:34.692Z
67782bda5d17b38e9c16afff,did:plc:3frutquqyngwt2bfndkbzwhp,2025-01-03T15:26:34.693Z,"Católico, estudante de medicina e 1/2 advogado\n\nRepostar ≠ Endossar",Matheus Andrei,matheusandrei.bsky.social,2025-01-03T15:26:34.693Z
67782bda5d17b38e9c16b000,did:plc:tflgakql6xpawp6wyk42qapl,2025-01-03T15:26:34.695Z,um comunista estudando contabilidade | o menino que a @anadotuiter.bsky.social gosta\n,Rollan(d)o Rocha 🇦🇹🇺🇾,gabrielrollano.bsky.social,2025-01-03T15:26:34.695Z
67782bda5d17b38e9c16b001,did:plc:lygik4dn6enl2vykru47emh2,2025-01-03T15:26:34.695Z,N/A,N/A,arturrossomartins.bsky.social,2025-01-03T15:26:34.695Z
67782bda5d17b38e9c16b002,did:plc:bk7p5qcdskztiwbl3vf7m6h4,2025-01-03T15:26:34.696Z,N/A,N/A,arthurbd12.bsky.social,2025-01-03T15:26:34.696Z
67782bda5d17b38e9c16b003,did:plc:br3hy5lsgf2tcfa63hrfulug,2025-01-03T15:26:34.696Z,já gostei de muita coisa ,Subutzki ,hsubutzki.bsky.social,2025-01-03T15:26:34.696Z
67782bda5d17b38e9c16b004,did:plc:iwfcdspi5c7dchob7366rmfr,2025-01-03T15:26:34.697Z,Daqui pra frente só pra trás ,N/A,josephluis26.bsky.social,2025-01-03T15:26:34.697Z
67782bda5d17b38e9c16b005,did:plc:cagexepzwknk4g3uprwn5typ,2025-01-03T15:26:34.697Z,🅲🆁🅵\nSC,Victor Hugo,victorhugodg.bsky.social,2025-01-03T15:26:34.697Z
67782bda5d17b38e9c16b006,did:plc:korfzjckqh5evkwptfhtmnfp,2025-01-03T15:26:34.699Z,N/A,tatamezzari,tatamezzari.bsky.social,2025-01-03T15:26:34.699Z
