_id,user_id,created_at,description,display_name,handle,updated_at
67781dd55d17b38e9c151849,did:plc:3gcdlbgdeo4zyghqtxc5s5hm,2025-01-03T14:26:45.393Z,🎁 | APENAS HOJE - Presentinho P VOCÊ \n👉 | CLIQUE AQUI > https://t.me/+jgoWIMk_eF1lODMx\n,Pamela Trindade,eupamelatrindade.bsky.social,2025-01-03T14:26:45.393Z
67781dd55d17b38e9c15184a,did:plc:yii7lgsjo3ch3q3rylz2mqyo,2025-01-03T14:26:45.419Z,"Not a joiner, yet here I am! Older than I probably have a right to be. Liberal AF. Lately disgusted and bewildered by the banality of the evil in our midst.\nLiving life by one very important, unwritten rule:",Heathen,heathenmaker.bsky.social,2025-01-03T14:26:45.419Z
67781dd55d17b38e9c15184b,did:plc:kupknvynfiyturszbao5zt5y,2025-01-03T14:26:45.423Z,what time is love?,Swán,revdrswan.bsky.social,2025-01-03T14:26:45.423Z
67781dd55d17b38e9c15184c,did:plc:5sztqyqjuidmdebdotc4imd2,2025-01-03T14:26:45.425Z,"Swiss, bacon & extra onions. Don’t forget the crispy hash browns & English muffin with loads of butter. Alter ego of retired finance nerd, Democrat living in a purple state. #NeverTrump #Phillies #CarolinaPanthers #TarHeelsBasketball. No DMs, Porn or MAGAs",Three Egg Omelette,threeeggomelette.bsky.social,2025-01-03T14:26:45.425Z
67781dd55d17b38e9c15184d,did:plc:f6dreya5hytqfldjnmshjusm,2025-01-03T14:26:45.426Z,N/A,Bruno Giglio,brunogiglio.bsky.social,2025-01-03T14:26:45.426Z
67781dd55d17b38e9c15184e,did:plc:6yyjiyfpu3th4hoi2hmtbp2w,2025-01-03T14:26:45.427Z,Noot enjoyer,N/A,nooting.bsky.social,2025-01-03T14:26:45.427Z
67781dd55d17b38e9c15184f,did:plc:ggx5lrkercxju5tqc2zfcjaz,2025-01-03T14:26:45.427Z,Amsterdam\n\nAFC Ajax ❌❌❌  Seizoenskaarthouder /Natio Suriname🇸🇷 / Nederland 🇳🇱,Carlito,carlito68.bsky.social,2025-01-03T14:26:45.427Z
67781dd55d17b38e9c151850,did:plc:eaolz6w7dm4c3sliprif6grt,2025-01-03T14:26:45.428Z,N/A,N/A,kobenicoa.bsky.social,2025-01-03T14:26:45.428Z
67781dd55d17b38e9c151851,did:plc:3pquyqzrztrtbinm3ihwy6i6,2025-01-03T14:26:45.429Z,N/A,N/A,gyuhhhuuuu.bsky.social,2025-01-03T14:26:45.429Z
67781dd55d17b38e9c151852,did:plc:d6t25gd7n52s3bs3hgspjci5,2025-01-03T14:26:45.429Z,Na luta contra extrema Direita não é guerra é genocídio em massa. 💯🌡️🚩🚩🚩🇧🇷🇧🇷🇧🇷 🏹🏹🏹 Sagitário Quente. MILITÂNCIA AGINDO PRA VALER. 🙏👍👊🤟✌️,Gilmar Carvalho Neves,ggilmar.bsky.social,2025-01-03T14:26:45.429Z
